Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
OSW,NASDAQ,823340889,9.69,-3.1968032,-0.32,237777,,4298,Consumer Services
EBSB,NASDAQ,822887240,15.7,-2.11970075,-0.34,187957,12.70998415,546,Finance
VTOL,NYSE,822394944,27.68,-2.91125921,-0.83,41071,56.15520977,707,Transportation
HZO,NYSE,820069954,37.07,-2.9327049,-1.12,381434,11.36404214,1736,Retail Trade
CXW,NYSE,819493000,6.69,-2.33576642,-0.16,2451122,6.67056189,14075,Finance
SFL,NYSE,818540390,6.77,0.74404762,0.05,1700301,,11,Transportation
FPRX,NASDAQ,817507404.9999999,17.65,4.99702558,0.84,467429,,87,Health Technology
ACCO,NYSE,816452352,8.64,-1.03092784,-0.09,391823,11.22252218,7000,Producer Manufacturing
BPYU,NASDAQ,814467000,17.03,0.17647059,0.03,675284,,,Finance
WASH,NASDAQ,814207968,47.16,-1.60650949,-0.77,46302,12.48209589,619,Finance
AC,NYSE,813914850.5200001,36.49,1.81361607,0.65,12552,,39,Finance
NTUS,NASDAQ,811806372,23.97,0.25094103,0.06,213825,,1484,Health Technology
GATO,NYSE,811400301,13.71,-3.58649789,-0.51,704976,,,Non-Energy Minerals
TRTX,NYSE,811319000,10.5,-0.66225166,-0.07,308004,,,Finance
KELYB,NASDAQ,809512844,20.6,-5.24379025,-1.14,2986,,7700,Commercial Services
CARS,NYSE,805938952,11.96,-1.72555464,-0.21,391803,,1500,Technology Services
STFC,NASDAQ,803985252,18.34,0.6586169,0.12,51864,,1978,Finance
ONCR,NASDAQ,803546480,35.53,-0.05625879,-0.02,26068,,,Health Technology
GOSS,NASDAQ,801798624,10.56,0.85959885,0.09,619815,,171,Health Technology
EH,NASDAQ,800432000,24.61,-1.56,-0.39,1228042,,240,Technology Services
DESP,NYSE,800166591.12,12.09,2.45762712,0.29,215681,,3029,Consumer Services
BKD,NYSE,799558600,4.36,-2.24215247,-0.1,905394,24.68179303,38400,Health Services
GNOG,NASDAQ,799321875,20.22,0.24789291,0.05,2939530,,,Finance
BCSF,NYSE,798635650.9999999,12.37,0.08090615,0.01,164446,,,Miscellaneous
PDFS,NASDAQ,798165521,21.79,-3.06939502,-0.69,211342,,353,Technology Services
LIND,NASDAQ,797504448,15.99,-2.08205756,-0.34,185403,,650,Consumer Services
CARA,NASDAQ,797313600,16,-0.62111801,-0.1,322981,,67,Health Technology
HMST,NASDAQ,796783503,36.57,-2.08835341,-0.78,84467,13.84410097,1071,Finance
CDMO,NASDAQ,796360055,13.15,-0.67975831,-0.09,311920,,222,Health Technology
CALT,NASDAQ,795320000,31.6,-0.78492936,-0.25,7464,,16,Health Technology
PRVL,NASDAQ,794553600,23.2,0.3894418,0.09,456198,,55,Health Technology
GLT,NYSE,792852586,17.87,-4.28494912,-0.8,107762,,2557,Process Industries
CRMT,NASDAQ,791645675,119.5,0.41173011,0.49,30289,13.14388585,1750,Retail Trade
SHI,NYSE,791617000,22.88,1.01545254,0.23,21294,,8878,Process Industries
RBCAA,NASDAQ,791151601.62,38.19,-1.67353244,-0.65,17144,9.17357519,1092,Finance
MNKD,NASDAQ,790843400,3.4,-5.55555556,-0.2,3338089,,233,Health Technology
STNG,NYSE,790541363,13.63,8.51910828,1.07,3023238,4.07250089,22,Transportation
PBF,NYSE,790442240,6.58,-5.86552217,-0.41,8209379,,3442,Energy Minerals
ERF,NYSE,790045400,3.55,-2.47252747,-0.09,1445053,,383,Energy Minerals
OCSL,NASDAQ,789381600,5.6,-1.75438596,-0.1,384517,20.48149479,,Finance
RES,NYSE,787148880,3.66,0,0,461920,,2700,Industrial Services
AMEH,NASDAQ,785832264,21.36,-2.55474453,-0.56,89051,23.68705425,555,Health Services
AXGN,NASDAQ,783265376,19.52,-0.509684,-0.1,456079,,394,Health Technology
