Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
NAKD,NASDAQ,43035893.13530001,0.446849,-1.59678485,-0.007251,78884216,,577,Consumer Non-Durables
GURE,NASDAQ,42889189.20000001,4.29,-3.59550562,-0.16,18035,,606,Process Industries
SYPR,NASDAQ,42740184,2.005,-13.2034632,-0.305,506743,24.62686567,630,Producer Manufacturing
HPR,NYSE,42577636.80000001,9.89,-2.27272727,-0.23,126652,,155,Energy Minerals
BKTI,NYSE ARCA,42540800,3.4,-1.73410405,-0.06,4000,,111,Electronic Technology
ESBK,NASDAQ,42524991.90000001,12.2093,2.08444816,0.2493,1312,10.99466814,125,Finance
KBNT,NASDAQ,42489040.8,5.52,1.28440367,0.07,378300,,,Technology Services
HUGE,NASDAQ,42442944,2.215,-1.55555556,-0.035,285097,,23,Process Industries
BXRX,NASDAQ,42330897,1.455,-7.32484076,-0.115,6409767,,25,Health Technology
MVO,NYSE,42320000,3.663,-0.46195652,-0.017,24750,6.03278689,,Miscellaneous
AUVI,NASDAQ,42188109.3,5.31,4.32220039,0.22,568314,,,Health Technology
NBY,NYSE ARCA,42187891.22,1.0097,-2.91346154,-0.0303,2371644,,28,Health Technology
IO,NYSE,42129487,2.81,-1.40350877,-0.04,219449,,519,Technology Services
ACHV,NASDAQ,42029612.114,11.6179,-7.42709163,-0.9321,940468,,14,Health Technology
LOACU,NASDAQ,42009900,15.95,-0.3125,-0.05,100,,2,Finance
SXTC,NASDAQ,41901291.52000001,0.6752,-3.54285714,-0.0248,4333976,,97,Health Technology
AHC,NYSE,41749661.85,1.95,0,0,32540,,830,Consumer Services
CTHR,NASDAQ,41710608,1.44,3.22580645,0.045,163959,,48,Consumer Durables
NEOS,NASDAQ,41596601.2,0.836,1.44399951,0.0119,2488971,,213,Health Technology
LIXT,NASDAQ,41577648,3.36,-3.72492837,-0.13,14066,,,Health Technology
IMRN,NASDAQ,41511400,7.21,-1.50273224,-0.11,27912,,,Health Technology
SPRT,NASDAQ,41469990,2.14,0.46948357,0.01,35988,70.52980132,1231,Technology Services
LIFE,NASDAQ,41149420,4.04,3.06122449,0.12,1004240,,44,Health Technology
BHTG,NASDAQ,41096209.77000001,1.7597,0.55428571,0.0097,1649674,,39,Producer Manufacturing
LODE,NYSE ARCA,40946667.12000001,1.1889,-0.09243697,-0.0011,304014,2.26450999,10,Non-Energy Minerals
EYEG,NASDAQ,40918979.7,6.645,4.97630332,0.315,68952,,10,Health Technology
PTE,NASDAQ,40795255.48000001,1.0396,-3.74074074,-0.0404,6750664,,157,Consumer Durables
EDTK,NASDAQ,40647600,3.3873,1.41616766,0.0473,53947,,,Technology Services
RAND,NASDAQ,40644160,15.7,-0.50697085,-0.08,3105,8.96590909,4,Finance
CGA,NYSE,40591300.986,6.3922,8.34237288,0.4922,130347,,,Process Industries
SOHO,NASDAQ,40328300,2.6502,-2.20664207,-0.0598,70436,,13,Finance
BDL,NYSE ARCA,40239772.5,21.65,-3.26184093,-0.73,355,39.36704622,1804,Consumer Services
IPWR,NASDAQ,40078503.30000001,13.47,2.27790433,0.3,886857,,5,Producer Manufacturing
MTEX,NASDAQ,39960300.6,19.14,0.48510049,0.0924,1899,5.85107821,215,Health Technology
RNGR,NYSE,39914596.8,4.68,-2.7027027,-0.13,9825,,1100,Industrial Services
NEWA,NASDAQ,39777120,3.68,1.68554849,0.061,43745,6.58359105,170,Producer Manufacturing
OPNT,NASDAQ,39770654,9.34,1.9650655,0.18,28765,,21,Health Technology
PRFX,NASDAQ,39761410.8,4.54,1.56599553,0.07,27860,,,Health Technology
CYCC,NASDAQ,39509011.5,7.385,0.33967391,0.025,101231,,12,Health Technology
PT,NASDAQ,39447300,1.17,6.36363636,0.07,714989,,256,Technology Services
LTBR,NASDAQ,38801448.4,6.89,18.58864028,1.08,1007139,,13,Commercial Services
PBLA,NASDAQ,38645967.15,4.005,-1.3546798,-0.055,47632,,5,Health Technology
PZG,NYSE ARCA,38470799.40000001,1.122,-3.27586207,-0.038,68042,,7,Non-Energy Minerals
JILL,NYSE,37806010.5,3.93,2.61096606,0.1,42064,,3748,Retail Trade
PRT,NYSE,37714600,3.1785,2.53225806,0.0785,29897,13.08569016,,Energy Minerals
MOHO,NASDAQ,37186800,2.605,11.32478632,0.265,212237,,677,Distribution Services
GIGM,NASDAQ,37135392,3.36,1.81818182,0.06,37505,,,Consumer Durables
SELF,NASDAQ,37050600,3.96,0,0,11690,,33,Finance
PVL,NYSE,36960000,1.08,-3.57142857,-0.04,60889,4.97335702,,Energy Minerals
OBLG,NYSE ARCA,36805992.5,4.75,3.26086957,0.15,153461,,99,Electronic Technology
GVP,NASDAQ,36776204.76000001,1.7834,-1.46961326,-0.0266,205348,,363,Commercial Services
AEY,NASDAQ,36695770,3.05,-2.55591054,-0.08,174118,,124,Distribution Services
MLND,NASDAQ,36669421,1.93,2.65957447,0.05,311084,,38,Health Technology
TAYD,NASDAQ,36450854,10.45,-0.38131554,-0.04,191,14.08641474,115,Producer Manufacturing
